Index,Result
Sun Sep 10 2017 00:00:00 GMT-0400 (EDT),10
Sun Sep 10 2017 01:00:00 GMT-0400 (EDT),3
Sun Sep 10 2017 02:00:00 GMT-0400 (EDT),1
Sun Sep 10 2017 03:00:00 GMT-0400 (EDT),2
Sun Sep 10 2017 04:00:00 GMT-0400 (EDT),0
Sun Sep 10 2017 05:00:00 GMT-0400 (EDT),3
Sun Sep 10 2017 06:00:00 GMT-0400 (EDT),1
Sun Sep 10 2017 07:00:00 GMT-0400 (EDT),1
Sun Sep 10 2017 08:00:00 GMT-0400 (EDT),8
Sun Sep 10 2017 09:00:00 GMT-0400 (EDT),42
Sun Sep 10 2017 10:00:00 GMT-0400 (EDT),61
Sun Sep 10 2017 11:00:00 GMT-0400 (EDT),108
Sun Sep 10 2017 12:00:00 GMT-0400 (EDT),202
Sun Sep 10 2017 13:00:00 GMT-0400 (EDT),230
Sun Sep 10 2017 14:00:00 GMT-0400 (EDT),306
Sun Sep 10 2017 15:00:00 GMT-0400 (EDT),232
Sun Sep 10 2017 16:00:00 GMT-0400 (EDT),258
Sun Sep 10 2017 17:00:00 GMT-0400 (EDT),181
Sun Sep 10 2017 18:00:00 GMT-0400 (EDT),124
Sun Sep 10 2017 19:00:00 GMT-0400 (EDT),34
Sun Sep 10 2017 20:00:00 GMT-0400 (EDT),5
Sun Sep 10 2017 21:00:00 GMT-0400 (EDT),3
Sun Sep 10 2017 22:00:00 GMT-0400 (EDT),5
Sun Sep 10 2017 23:00:00 GMT-0400 (EDT),1
