X,Y,SHAPE_area,Proj_nam,MAL,DevName,DevAddy,Park_type,User_Group,20171127_Respondent (First+ Last),20171127_Gensler Revised Parking Spots,20171127_Parking
-71.06559026,42.35080103,24536.44588,W Boston Hotel,100 Stuart St,,,valet,,Kevin Kusina,142,Below Grade
-71.05762695,42.3639381,32.74511881,ENDICOTT @ STILLMAN LOT,0 Stillman St,,,,,Kevin Kusina,18,Surface Parking
-71.06266843,42.36400937,874.3014567,VIP PARKING LOT,22 Lancaster St,,,,,Kevin Kusina,35,Surface Parking
-71.05272796,42.36320853,12318.36417,RICHMOND ST LOT,120 Fulton St,,,,,Kevin Kusina,31,Below Grade
-71.05146387,42.36341742,3939.531464,NICHOLAS DAMORE,210-218 Commercial St,,,,,Kevin Kusina,15,Below Grade
-71.06666144,42.35503257,1985784.106,BOSTON COMMON GARAGE,0 CHARLES ST,,,,,Kevin Kusina,1500,Below grade (no structure on top)
-71.06270415,42.36271193,372054.5424,HURLEY BUILDING,19 Staniford St,,,,,Kevin Kusina,195,Surface Parking
-71.05524406,42.3586088,58152.19066,75 STATE ST GARAGE,75 State St,"99 State Street Limited Partnership, c/o The Beacon Companies","One Post Office Square, Boston, MA 02109",,General public,Kevin Kusina,700,Below Grade
-71.0600252,42.36397084,17999.07979,181 - 189 FRIEND ST,181-189 Friend St,Gunwyn/Canal Street Limited Partnership c/o Sullivan & Worchester,"One Post Office Square, Boston, MA 02109",,employees,Kevin Kusina,16,Surface Parking
-71.0621506,42.36182902,15535.88052,BOWDOIN SQUARE OFFICE BUILDING,1 Bowdoin Sq,"One Bowdoin Square Limited Partnership, c/o Peter E. Madsen","47 Thorndike Street, Cambridge, MA 02141",Self,,Kevin Kusina,25,Below Grade
-71.05418103,42.36239688,31539.19303,133-147 NORTH ST,0 Cross St,,,,,Kevin Kusina,20,Surface Parking
-71.05135218,42.35419984,34857.75922,470 Atlantic Ave (Independence Wharf),466-474 Atlantic Ave,"Independence Wharf Realty Trust, C/o Modern Continental","600 Memorial Drive, Cambridge, MA 02139",valet,,Kevin Kusina,119,Below Grade
-71.06076429,42.36399597,1593.048241,204 FRIEND ST LOT,0 Friend St,,,,,Kevin Kusina,12,Surface Parking
-71.06177952,42.35875441,8516.244061,SOMERSET LOT,10 Somerset St,,,,,Kevin Kusina,42,Below Grade
-71.05998908,42.35311848,36557.93461,NSTAR SERVICES LOT,0 Chauncy St,,,,,Kevin Kusina,30,Surface Parking
-71.05217301,42.35615905,46691.51956,INTERNATIONAL PLACE,90 Oliver St,"Fort Hill Square Phase 2 Associates, c/o The Chiofaro Company","Suite 406, One International Place, Boston, Massachusetts 02110",,,Kevin Kusina,60,Below Grade
-71.05926243,42.36267939,180692.3902,Government Center and City Hall Garage,50 new sudbury st,"Nancy Decker, Goulston & Storrs","400 Atlantic Avenue, Boston, MA 02110",,,Kevin Kusina,2504,Below Grade
-71.06165515,42.36382822,18507.47983,101 MERRIMAC ST GARAGE,101 Merrimac St,"H.N Gorin Inc, 75/101 Federal Street","75 Federal Street, Boston MA 02110",,Residents,Kevin Kusina,70,Below Grade
-71.0599021,42.36324659,4159.651745,Green Charge and Park,150-158 Friend St,Dinosaur Capital Partners LLC on behalf of Exxon Mobil Oil Corp.,"101 Huntington Avenue, 9th Floor, Boston, MA 02199",,General public,Kevin Kusina,24,Surface Parking
-71.05710896,42.35834128,2322.418691,FIDELITY PROPERTIES,50-54 Devonshire St,"Timothy Culver, Peabody & Arnold","50 Rowes Wharf, Boston, MA 02110",,Security vehicles,Kevin Kusina,2,Surface Parking
-71.07156541,42.35229535,5666.999046,RITZ CARLTON HOTEL,4 Newbury St,,,,,Kevin Kusina,130,Below grade (no structure on top)
-71.05335842,42.35806028,17556.82794,20-21 Custom House St,20 Custom House St,Jaymont Properties Incorporated,"260 Franklin Street, Suite 2250, Boston, MA 02110",,,Kevin Kusina,77,Below Grade
-71.08312847,42.34881253,16249.14984,INGALLS BUILDING,855 Boylston St,"John A. Kessler, Jr., Gaston Snow & Ely Bartlett","One Federal Street, Boston, MA 02110",,,Kevin Kusina,29,Below Grade
-71.05514996,42.36719969,21167.01298,MICHAEL ANGELO SCHOOL LOT,64-84 Charter St,,,,,Kevin Kusina,10,Surface Parking
-71.05401896,42.35600389,74532.04312,WOOLWORTH GARAGE,209-245 Franklin St,"Katy Durham, Mintz, Levin, Cohn, Ferris, Glovsky and Popeo, P.C.","One Financial Center, Boston, MA 02111",Valet,,Kevin Kusina,1127,Below Grade
-71.0587284,42.35285189,71482.16613,ONE LINCOLN ST GARAGE,1 Lincoln St,,,,,Kevin Kusina,955,Below Grade
-71.05263296,42.35799358,11058.138,21 CUSTOM HOUSE ST GARAGE,21 CUSTOM HOUSE ST,,,,,Kevin Kusina,40,Below Grade
-71.05283165,42.35771874,11941.51965,80 Broad,80 Broad St,Broad / Franklin Development Trust,"72 Broad Street, Boston, MA 02110",Valet,,Kevin Kusina,118,Below Grade
-71.06065623,42.36468153,4094.847058,CANAL STREET LOT,126-134 Canal St,,,,,Kevin Kusina,25,Surface Parking
-71.06011661,42.35909441,24421.15434,CENTER PLAZA GARAGE,3 Center Plz,,,,,Kevin Kusina,586,Below Grade
-71.05682158,42.3549714,23338.72474,101 FEDERAL ST GARAGE,101 Federal St,"Franklin Federal Partners, c/o Himmel MKDG","Four Copley Place, Boston, MA 02116",,"General public, employees",Kevin Kusina,195,Below Grade
-71.05194314,42.35683182,10495.32531,INTERNATIONAL PLACE,200 High St,"High Road Realty Trust, c/o H.J.Davis Development Corporation","40 Glen Avenue, Newton, MA 02159",,,Carmen Schweizer,827,Below Grade
-71.05618326,42.35851552,49063.0289,EXCHANGE PLACE,43-65 State St,"Olympia & York State Street Company, c/o Christopher H. Milton, Fine & Ambr","133 Federal Street, Boston, MA 02110",,Tenants and or employees,Carmen Schweizer,93,Below Grade
-71.05756191,42.3622175,65210.74545,HAYMARKET STATION/ MTA GARAGE,136 Blackstone St,"THE MASSACHUSETTS TURNPIKE
AUTHORITY","Ten Park Plaza
Boston, MA 02106",self,,Carmen Schweizer,310,Stand-alone parking attached to side of building
-71.06224699,42.35884744,3313.209548,ASHBURTON PLACE LOT,0 Ashburton Pl,,,,,Carmen Schweizer,42,Surface Parking
-71.05639249,42.35936066,55963.37424,60 STATE STREET ASSOCIATES,60 State St,60 State Street Associates Limited Partnership,"60 State Street, Boston, MA 02109",,Employee,Carmen Schweizer,305,Below Grade
-71.0589334,42.36565636,18667.34883,"NINETY 8 NORTH, LLC",6-24 Medford St,"Kathleen MacNeil, Macomber Development Associates","One Main Street, Cambridge, MA 02142",,Tenants,Carmen Schweizer,9,Surface Parking
-71.05219651,42.35779968,1992.083234,51 INDIA ST,0 India St,,,,,Carmen Schweizer,11,Surface Parking
-71.06090926,42.35087738,1352.597431,TYLER ST LOT,0 Tyler St,"Stanhope Garage, Inc","76 Seattle Street, Allston, MA 02134",,General public,Carmen Schweizer,63,Surface Parking
-71.05334312,42.35652233,22865.7032,PAINE WEBBER BUILDING,265 Franklin St,"Oliver Wendell Realty Trust, c/o Ronda Silberberg Canter, MCCormack & Zimbl","225 Franklin Street, Boston, MA 02210",,"Employees, lessees, patrons, customers, clients",Carmen Schweizer,128,Below Grade
-71.06104384,42.35786051,25832.56649,73 Tremont Street,73 Tremont St,,,Valet,,Carmen Schweizer,127,Below Grade
-71.05758622,42.35807421,21574.63393,DEVONSHIRE TOWER,1 Devonshire Pl,"Harvey Rothenberg, Trustee, Devonshire Towers Trust","600 Madison Towers, New York, NY 10022",,"General public, residents, tenents, lessees",Carmen Schweizer,196,Below Grade
-71.05982271,42.35135452,3622.653432,BEACH ST GARAGE,88 Beach St,,,,,Carmen Schweizer,500,Stand-alone parking attached to side of building
-71.05933828,42.36603528,13376.11053,BRAMAN-DOW LOT,239-245 Causeway St,,,,,Carmen Schweizer,17,Surface Parking
-71.05909577,42.35052939,44099.8035,179 Lincoln,85-89 Beach St,DEVCO IV 179 Lincoln Holding Co LLC c/o Millennium Partners,"172 Tremont Street, Suite 400, Boston MA 02111",Addendant assisted/valet,,Carmen Schweizer,60,Below Grade
-71.05935638,42.36143554,201965.8091,JFK Parking Facilities,15-55 New Sudbury St,,,,,Carmen Schweizer,219,Below Grade
-71.06105493,42.36483176,6308.623471,J & O LOT,0 Canal St,,,,,Carmen Schweizer,35,Surface Parking
-71.07823939,42.35098177,9947.827575,DARTMOUTH ST LOT,278 Dartmouth St,,,,,Carmen Schweizer,68,Surface Parking
-71.06026104,42.35207869,2320.800914,PING ON ST LOT,0 Ping On St,"Bradford Auto Parks, Inc","130 Essex Street, Boston, MA 02111",,General public,Carmen Schweizer,29,Surface Parking
-71.05660253,42.36151088,2424.701389,CREEK SQUARE LOT,0 Creek Sq,,,,,Carmen Schweizer,8,Surface Parking
-71.05190827,42.35370222,122360.1896,RUSSIA WHARF,500 Atlantic Ave,Boston Edison Company,"800 Boylston Street, Boston, MA 02199",,"General public, residential",Carmen Schweizer,375,Below Grade
