X,Y,osm_id,code,fclass,name,ref,oneway,maxspeed,layer,bridge,tunnel
-71.111316,42.399507,8603122,5122,residential,Rogers Avenue,,F,0,0,F,F
-71.0955215,42.3831757,8603503,5122,residential,Munroe Street,,B,0,0,F,F
-71.0954541,42.3831349,8603503,5122,residential,Munroe Street,,B,0,0,F,F
-71.0943797,42.3824837,8603503,5122,residential,Munroe Street,,B,0,0,F,F
-71.0939551,42.3822361,8603503,5122,residential,Munroe Street,,B,0,0,F,F
-71.0939042,42.3822063,8603503,5122,residential,Munroe Street,,B,0,0,F,F
-71.0935382,42.3819657,8603503,5122,residential,Munroe Street,,B,0,0,F,F
-71.0934003,42.3818751,8603503,5122,residential,Munroe Street,,B,0,0,F,F
-71.0933165,42.3818108,8603503,5122,residential,Munroe Street,,B,0,0,F,F
-71.0932382,42.38172,8603503,5122,residential,Munroe Street,,B,0,0,F,F
-71.092824,42.3812634,8603503,5122,residential,Munroe Street,,B,0,0,F,F
-71.0927115,42.3811514,8603503,5122,residential,Munroe Street,,B,0,0,F,F
-71.0926471,42.3810888,8603503,5122,residential,Munroe Street,,B,0,0,F,F
-71.0924575,42.3809194,8603503,5122,residential,Munroe Street,,B,0,0,F,F
-71.0923768,42.3808589,8603503,5122,residential,Munroe Street,,B,0,0,F,F
-71.0922679,42.3808077,8603503,5122,residential,Munroe Street,,B,0,0,F,F
-71.0921738,42.3807741,8603503,5122,residential,Munroe Street,,B,0,0,F,F
-71.0920368,42.3807394,8603503,5122,residential,Munroe Street,,B,0,0,F,F
-71.091895,42.380724,8603503,5122,residential,Munroe Street,,B,0,0,F,F
-71.0917734,42.3807264,8603503,5122,residential,Munroe Street,,B,0,0,F,F
-71.0916541,42.3807355,8603503,5122,residential,Munroe Street,,B,0,0,F,F
-71.0915514,42.3807576,8603503,5122,residential,Munroe Street,,B,0,0,F,F
-71.091453,42.380787,8603503,5122,residential,Munroe Street,,B,0,0,F,F
-71.091146,42.380902,8603503,5122,residential,Munroe Street,,B,0,0,F,F
-71.090932,42.381,8603503,5122,residential,Munroe Street,,B,0,0,F,F
-71.0955666,42.3796478,8604709,5114,secondary,Somerville Avenue,,B,0,0,F,F
-71.0956795,42.3796808,8604709,5114,secondary,Somerville Avenue,,B,0,0,F,F
-71.0957701,42.3796964,8604709,5114,secondary,Somerville Avenue,,B,0,0,F,F
-71.093746,42.374253,8604746,5122,residential,Columbia Street,,B,0,0,F,F
-71.09386,42.374701,8604746,5122,residential,Columbia Street,,B,0,0,F,F
-71.094018,42.375226,8604746,5122,residential,Columbia Street,,B,0,0,F,F
-71.094088,42.375508,8604746,5122,residential,Columbia Street,,B,0,0,F,F
-71.094108,42.375592,8604746,5122,residential,Columbia Street,,B,0,0,F,F
-71.094234,42.375782,8604746,5122,residential,Columbia Street,,B,0,0,F,F
-71.094708,42.375808,8604746,5122,residential,Columbia Street,,B,0,0,F,F
-71.095239,42.375868,8604746,5122,residential,Columbia Street,,B,0,0,F,F
-71.0886374,42.3806562,8604756,5114,secondary,Washington Street,,F,0,0,F,F
-71.0890728,42.3805478,8604756,5114,secondary,Washington Street,,F,0,0,F,F
-71.0894095,42.3804269,8604756,5114,secondary,Washington Street,,F,0,0,F,F
-71.0897087,42.3803134,8604756,5114,secondary,Washington Street,,F,0,0,F,F
-71.0899473,42.3802233,8604756,5114,secondary,Washington Street,,F,0,0,F,F
-71.09032,42.380056,8604756,5114,secondary,Washington Street,,F,0,0,F,F
-71.090653,42.379881,8604756,5114,secondary,Washington Street,,F,0,0,F,F
-71.0755329,42.3705222,8604813,5112,trunk,Monsignor O'Brien Highway,MA 28,F,0,0,F,F
-71.0759287,42.3708229,8604813,5112,trunk,Monsignor O'Brien Highway,MA 28,F,0,0,F,F
-71.0761423,42.3709661,8604813,5112,trunk,Monsignor O'Brien Highway,MA 28,F,0,0,F,F
-71.0763655,42.3711056,8604813,5112,trunk,Monsignor O'Brien Highway,MA 28,F,0,0,F,F
-71.0764908,42.3711798,8604813,5112,trunk,Monsignor O'Brien Highway,MA 28,F,0,0,F,F
-71.0766269,42.3712544,8604813,5112,trunk,Monsignor O'Brien Highway,MA 28,F,0,0,F,F
-71.076771,42.371325,8604813,5112,trunk,Monsignor O'Brien Highway,MA 28,F,0,0,F,F
-71.076939,42.3713971,8604813,5112,trunk,Monsignor O'Brien Highway,MA 28,F,0,0,F,F
-71.0771155,42.3714679,8604813,5112,trunk,Monsignor O'Brien Highway,MA 28,F,0,0,F,F
-71.0775623,42.3716339,8604813,5112,trunk,Monsignor O'Brien Highway,MA 28,F,0,0,F,F
-71.0777611,42.3717095,8604813,5112,trunk,Monsignor O'Brien Highway,MA 28,F,0,0,F,F
-71.096387,42.379635,8604858,5114,secondary,Webster Avenue,,B,32,0,F,F
-71.0963713,42.3795351,8604858,5114,secondary,Webster Avenue,,B,32,0,F,F
-71.0961163,42.3787052,8604858,5114,secondary,Webster Avenue,,B,32,0,F,F
-71.096112,42.37869,8604858,5114,secondary,Webster Avenue,,B,32,0,F,F
-71.0961061,42.3786693,8604858,5114,secondary,Webster Avenue,,B,32,0,F,F
-71.0958978,42.3779687,8604858,5114,secondary,Webster Avenue,,B,32,0,F,F
-71.0958835,42.377919,8604858,5114,secondary,Webster Avenue,,B,32,0,F,F
-71.0892782,42.3775169,8604879,5114,secondary,Medford Street,,F,0,0,F,F
-71.089268,42.3774744,8604879,5114,secondary,Medford Street,,F,0,0,F,F
