Short_Name	Full_Name
B00001e1	UNWEIGHTED SAMPLE COUNT OF THE POPULATION: Total: Total population -- (Estimate)
B00001m1	UNWEIGHTED SAMPLE COUNT OF THE POPULATION: Total: Total population -- (Margin of Error)
B00002e1	UNWEIGHTED SAMPLE HOUSING UNITS: Total: Housing units -- (Estimate)
B00002m1	UNWEIGHTED SAMPLE HOUSING UNITS: Total: Housing units -- (Margin of Error)
B01001e1	SEX BY AGE: Total: Total population -- (Estimate)
B01001m1	SEX BY AGE: Total: Total population -- (Margin of Error)
B01001e2	SEX BY AGE: Male: Total population -- (Estimate)
B01001m2	SEX BY AGE: Male: Total population -- (Margin of Error)
B01001e3	SEX BY AGE: Male: Under 5 years: Total population -- (Estimate)
B01001m3	SEX BY AGE: Male: Under 5 years: Total population -- (Margin of Error)
B01001e4	SEX BY AGE: Male: 5 to 9 years: Total population -- (Estimate)
B01001m4	SEX BY AGE: Male: 5 to 9 years: Total population -- (Margin of Error)
B01001e5	SEX BY AGE: Male: 10 to 14 years: Total population -- (Estimate)
B01001m5	SEX BY AGE: Male: 10 to 14 years: Total population -- (Margin of Error)
B01001e6	SEX BY AGE: Male: 15 to 17 years: Total population -- (Estimate)
B01001m6	SEX BY AGE: Male: 15 to 17 years: Total population -- (Margin of Error)
B01001e7	SEX BY AGE: Male: 18 and 19 years: Total population -- (Estimate)
B01001m7	SEX BY AGE: Male: 18 and 19 years: Total population -- (Margin of Error)
B01001e8	SEX BY AGE: Male: 20 years: Total population -- (Estimate)
B01001m8	SEX BY AGE: Male: 20 years: Total population -- (Margin of Error)
B01001e9	SEX BY AGE: Male: 21 years: Total population -- (Estimate)
B01001m9	SEX BY AGE: Male: 21 years: Total population -- (Margin of Error)
B01001e10	SEX BY AGE: Male: 22 to 24 years: Total population -- (Estimate)
B01001m10	SEX BY AGE: Male: 22 to 24 years: Total population -- (Margin of Error)
B01001e11	SEX BY AGE: Male: 25 to 29 years: Total population -- (Estimate)
B01001m11	SEX BY AGE: Male: 25 to 29 years: Total population -- (Margin of Error)
B01001e12	SEX BY AGE: Male: 30 to 34 years: Total population -- (Estimate)
B01001m12	SEX BY AGE: Male: 30 to 34 years: Total population -- (Margin of Error)
B01001e13	SEX BY AGE: Male: 35 to 39 years: Total population -- (Estimate)
B01001m13	SEX BY AGE: Male: 35 to 39 years: Total population -- (Margin of Error)
B01001e14	SEX BY AGE: Male: 40 to 44 years: Total population -- (Estimate)
B01001m14	SEX BY AGE: Male: 40 to 44 years: Total population -- (Margin of Error)
B01001e15	SEX BY AGE: Male: 45 to 49 years: Total population -- (Estimate)
B01001m15	SEX BY AGE: Male: 45 to 49 years: Total population -- (Margin of Error)
B01001e16	SEX BY AGE: Male: 50 to 54 years: Total population -- (Estimate)
B01001m16	SEX BY AGE: Male: 50 to 54 years: Total population -- (Margin of Error)
B01001e17	SEX BY AGE: Male: 55 to 59 years: Total population -- (Estimate)
B01001m17	SEX BY AGE: Male: 55 to 59 years: Total population -- (Margin of Error)
B01001e18	SEX BY AGE: Male: 60 and 61 years: Total population -- (Estimate)
B01001m18	SEX BY AGE: Male: 60 and 61 years: Total population -- (Margin of Error)
B01001e19	SEX BY AGE: Male: 62 to 64 years: Total population -- (Estimate)
B01001m19	SEX BY AGE: Male: 62 to 64 years: Total population -- (Margin of Error)
B01001e20	SEX BY AGE: Male: 65 and 66 years: Total population -- (Estimate)
B01001m20	SEX BY AGE: Male: 65 and 66 years: Total population -- (Margin of Error)
B01001e21	SEX BY AGE: Male: 67 to 69 years: Total population -- (Estimate)
B01001m21	SEX BY AGE: Male: 67 to 69 years: Total population -- (Margin of Error)
B01001e22	SEX BY AGE: Male: 70 to 74 years: Total population -- (Estimate)
B01001m22	SEX BY AGE: Male: 70 to 74 years: Total population -- (Margin of Error)
B01001e23	SEX BY AGE: Male: 75 to 79 years: Total population -- (Estimate)
B01001m23	SEX BY AGE: Male: 75 to 79 years: Total population -- (Margin of Error)
B01001e24	SEX BY AGE: Male: 80 to 84 years: Total population -- (Estimate)
B01001m24	SEX BY AGE: Male: 80 to 84 years: Total population -- (Margin of Error)
B01001e25	SEX BY AGE: Male: 85 years and over: Total population -- (Estimate)
B01001m25	SEX BY AGE: Male: 85 years and over: Total population -- (Margin of Error)
B01001e26	SEX BY AGE: Female: Total population -- (Estimate)
B01001m26	SEX BY AGE: Female: Total population -- (Margin of Error)
B01001e27	SEX BY AGE: Female: Under 5 years: Total population -- (Estimate)
B01001m27	SEX BY AGE: Female: Under 5 years: Total population -- (Margin of Error)
B01001e28	SEX BY AGE: Female: 5 to 9 years: Total population -- (Estimate)
B01001m28	SEX BY AGE: Female: 5 to 9 years: Total population -- (Margin of Error)
B01001e29	SEX BY AGE: Female: 10 to 14 years: Total population -- (Estimate)
B01001m29	SEX BY AGE: Female: 10 to 14 years: Total population -- (Margin of Error)
B01001e30	SEX BY AGE: Female: 15 to 17 years: Total population -- (Estimate)
B01001m30	SEX BY AGE: Female: 15 to 17 years: Total population -- (Margin of Error)
B01001e31	SEX BY AGE: Female: 18 and 19 years: Total population -- (Estimate)
B01001m31	SEX BY AGE: Female: 18 and 19 years: Total population -- (Margin of Error)
B01001e32	SEX BY AGE: Female: 20 years: Total population -- (Estimate)
B01001m32	SEX BY AGE: Female: 20 years: Total population -- (Margin of Error)
B01001e33	SEX BY AGE: Female: 21 years: Total population -- (Estimate)
B01001m33	SEX BY AGE: Female: 21 years: Total population -- (Margin of Error)
B01001e34	SEX BY AGE: Female: 22 to 24 years: Total population -- (Estimate)
B01001m34	SEX BY AGE: Female: 22 to 24 years: Total population -- (Margin of Error)
B01001e35	SEX BY AGE: Female: 25 to 29 years: Total population -- (Estimate)
B01001m35	SEX BY AGE: Female: 25 to 29 years: Total population -- (Margin of Error)
B01001e36	SEX BY AGE: Female: 30 to 34 years: Total population -- (Estimate)
B01001m36	SEX BY AGE: Female: 30 to 34 years: Total population -- (Margin of Error)
B01001e37	SEX BY AGE: Female: 35 to 39 years: Total population -- (Estimate)
B01001m37	SEX BY AGE: Female: 35 to 39 years: Total population -- (Margin of Error)
B01001e38	SEX BY AGE: Female: 40 to 44 years: Total population -- (Estimate)
B01001m38	SEX BY AGE: Female: 40 to 44 years: Total population -- (Margin of Error)
B01001e39	SEX BY AGE: Female: 45 to 49 years: Total population -- (Estimate)
B01001m39	SEX BY AGE: Female: 45 to 49 years: Total population -- (Margin of Error)
B01001e40	SEX BY AGE: Female: 50 to 54 years: Total population -- (Estimate)
B01001m40	SEX BY AGE: Female: 50 to 54 years: Total population -- (Margin of Error)
B01001e41	SEX BY AGE: Female: 55 to 59 years: Total population -- (Estimate)
B01001m41	SEX BY AGE: Female: 55 to 59 years: Total population -- (Margin of Error)
B01001e42	SEX BY AGE: Female: 60 and 61 years: Total population -- (Estimate)
B01001m42	SEX BY AGE: Female: 60 and 61 years: Total population -- (Margin of Error)
B01001e43	SEX BY AGE: Female: 62 to 64 years: Total population -- (Estimate)
B01001m43	SEX BY AGE: Female: 62 to 64 years: Total population -- (Margin of Error)
B01001e44	SEX BY AGE: Female: 65 and 66 years: Total population -- (Estimate)
B01001m44	SEX BY AGE: Female: 65 and 66 years: Total population -- (Margin of Error)
B01001e45	SEX BY AGE: Female: 67 to 69 years: Total population -- (Estimate)
B01001m45	SEX BY AGE: Female: 67 to 69 years: Total population -- (Margin of Error)
B01001e46	SEX BY AGE: Female: 70 to 74 years: Total population -- (Estimate)
B01001m46	SEX BY AGE: Female: 70 to 74 years: Total population -- (Margin of Error)
B01001e47	SEX BY AGE: Female: 75 to 79 years: Total population -- (Estimate)
B01001m47	SEX BY AGE: Female: 75 to 79 years: Total population -- (Margin of Error)
B01001e48	SEX BY AGE: Female: 80 to 84 years: Total population -- (Estimate)
B01001m48	SEX BY AGE: Female: 80 to 84 years: Total population -- (Margin of Error)
B01001e49	SEX BY AGE: Female: 85 years and over: Total population -- (Estimate)
B01001m49	SEX BY AGE: Female: 85 years and over: Total population -- (Margin of Error)
B01002e1	MEDIAN AGE BY SEX: Total: Total population -- (Estimate)
B01002m1	MEDIAN AGE BY SEX: Total: Total population -- (Margin of Error)
B01002e2	MEDIAN AGE BY SEX: Male: Total population -- (Estimate)
B01002m2	MEDIAN AGE BY SEX: Male: Total population -- (Margin of Error)
B01002e3	MEDIAN AGE BY SEX: Female: Total population -- (Estimate)
B01002m3	MEDIAN AGE BY SEX: Female: Total population -- (Margin of Error)
B01002Ae1	MEDIAN AGE BY SEX (WHITE ALONE): Total: People who are White alone -- (Estimate)
B01002Am1	MEDIAN AGE BY SEX (WHITE ALONE): Total: People who are White alone -- (Margin of Error)
B01002Ae2	MEDIAN AGE BY SEX (WHITE ALONE): Male: People who are White alone -- (Estimate)
B01002Am2	MEDIAN AGE BY SEX (WHITE ALONE): Male: People who are White alone -- (Margin of Error)
B01002Ae3	MEDIAN AGE BY SEX (WHITE ALONE): Female: People who are White alone -- (Estimate)
B01002Am3	MEDIAN AGE BY SEX (WHITE ALONE): Female: People who are White alone -- (Margin of Error)
B01002Be1	MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE): Total: Black or African American alone -- (Estimate)
B01002Bm1	MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE): Total: Black or African American alone -- (Margin of Error)
B01002Be2	MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE): Male: Black or African American alone -- (Estimate)
B01002Bm2	MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE): Male: Black or African American alone -- (Margin of Error)
B01002Be3	MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE): Female: Black or African American alone -- (Estimate)
B01002Bm3	MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE): Female: Black or African American alone -- (Margin of Error)
B01002Ce1	MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE): Total: People who are American Indian and Alaska Native alone -- (Estimate)
B01002Cm1	MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE): Total: People who are American Indian and Alaska Native alone -- (Margin of Error)
B01002Ce2	MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE): Male: People who are American Indian and Alaska Native alone -- (Estimate)
B01002Cm2	MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE): Male: People who are American Indian and Alaska Native alone -- (Margin of Error)
B01002Ce3	MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE): Female: People who are American Indian and Alaska Native alone -- (Estimate)
B01002Cm3	MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE): Female: People who are American Indian and Alaska Native alone -- (Margin of Error)
B01002De1	MEDIAN AGE BY SEX (ASIAN ALONE): Total: People who are Asian alone -- (Estimate)
B01002Dm1	MEDIAN AGE BY SEX (ASIAN ALONE): Total: People who are Asian alone -- (Margin of Error)
B01002De2	MEDIAN AGE BY SEX (ASIAN ALONE): Male: People who are Asian alone -- (Estimate)
B01002Dm2	MEDIAN AGE BY SEX (ASIAN ALONE): Male: People who are Asian alone -- (Margin of Error)
B01002De3	MEDIAN AGE BY SEX (ASIAN ALONE): Female: People who are Asian alone -- (Estimate)
