"shapeid","x","y"
"360","-81.213717","27.528654"
"360","-81.212431","27.529155"
"360","-81.211594","27.531002"
"360","-81.209936","27.530764"
"360","-81.208958","27.529751"
"360","-81.207786","27.53005"
"360","-81.208235","27.531634"
"360","-81.207513","27.533281"
"360","-81.208691","27.535582"
"360","-81.204918","27.537502"
"360","-81.202487","27.539407"
"360","-81.205385","27.542973"
"360","-81.204573","27.544545"
"360","-81.206021","27.54721"
"360","-81.204345","27.54785"
"360","-81.201094","27.546157"
"360","-81.198451","27.546217"
"360","-81.196635","27.549218"
"360","-81.194844","27.550647"
"360","-81.194015","27.549498"
"360","-81.191964","27.551502"
"360","-81.194371","27.551388"
"360","-81.193916","27.552882"
"360","-81.192294","27.552256"
"360","-81.190517","27.552905"
"360","-81.189953","27.554363"
"360","-81.191274","27.554512"
"360","-81.190034","27.555552"
"360","-81.190626","27.556664"
"360","-81.188876","27.557055"
"360","-81.185094","27.558937"
"360","-81.18453","27.557946"
"360","-81.18262","27.557519"
"360","-81.180845","27.558028"
"360","-81.177958","27.557707"
"360","-81.176771","27.558183"
"360","-81.177838","27.559214"
"360","-81.175854","27.559386"
"360","-81.175643","27.562767"
"360","-81.174872","27.564317"
"360","-81.171975","27.565632"
"360","-81.170515","27.565634"
"360","-81.171093","27.56767"
"360","-81.168969","27.569014"
"360","-81.168112","27.570606"
"360","-81.168248","27.57302"
"360","-81.166109","27.574888"
"360","-81.164128","27.572856"
"360","-81.163371","27.574171"
"360","-81.160711","27.574834"
"360","-81.159306","27.574168"
"360","-81.160837","27.573674"
"360","-81.161592","27.571665"
"360","-81.161168","27.570819"
"360","-81.160384","27.572401"
"360","-81.158542","27.573889"
"360","-81.15675","27.574404"
"360","-81.158411","27.577185"
"360","-81.158559","27.57851"
"360","-81.157752","27.583516"
"360","-81.155454","27.585852"
"360","-81.15475","27.587499"
"360","-81.155345","27.591395"
"360","-81.153664","27.593218"
"360","-81.14998","27.594582"
"360","-81.148923","27.597068"
"360","-81.143784","27.59723"
"360","-81.142477","27.597766"
"360","-81.143359","27.598531"
"360","-81.14289","27.599795"
"360","-81.140907","27.600215"
"360","-81.140472","27.601302"
"360","-81.141317","27.603868"
"360","-81.140109","27.604799"
"360","-81.141823","27.606883"
"360","-81.140664","27.608372"
"360","-81.143071","27.612653"
"360","-81.142757","27.614086"
"360","-81.145029","27.615171"
"360","-81.144598","27.616683"
"360","-81.142949","27.618386"
"360","-81.143547","27.619566"
"360","-81.142597","27.62066"
"360","-81.141865","27.624476"
"360","-81.142223","27.625532"
"360","-81.139958","27.62651"
"360","-81.141752","27.627119"
"360","-81.140388","27.628319"
"360","-81.142856","27.629147"
"360","-81.142932","27.630827"
"360","-81.141532","27.633271"
"360","-81.142515","27.636558"
"360","-81.143803","27.63646"
"360","-81.144239","27.639134"
"360","-81.141843","27.639448"
"360","-81.142777","27.640598"
"360","-81.14095","27.642499"
"360","-81.142556","27.64212"
"360","-81.142164","27.643238"
"360","-81.068408","27.642367"
"360","-81.065649","27.642202"
"360","-81.027011","27.642003"
"360","-80.87315","27.642288"
"360","-80.867024","27.642387"
"360","-80.863778","27.642144"
"360","-80.858712","27.642349"
"360","-80.853528","27.642317"
"360","-80.778047","27.643195"
"360","-80.777166","27.558733"
"360","-80.744997","27.558708"
"360","-80.744348","27.558619"
"360","-80.743858","27.558552"
"360","-80.679821","27.55847"
"360","-80.679715","27.557646"
"360","-80.679654","27.500766"
"360","-80.679496","27.498896"
"360","-80.679038","27.471813"
"360","-80.679288","27.455697"
"360","-80.678609","27.448598"
"360","-80.677753","27.302218"
"360","-80.67772","27.294065"
"360","-80.678687","27.294048"
"360","-80.677992","27.244532"
"360","-80.677862","27.205988"
"360","-80.677691","27.159296"
"360","-80.67768","27.158472"
"360","-80.677427","27.121619"
"360","-80.683751","27.116279"
"360","-80.685636","27.114689"
"360","-80.885639","26.958919"
"360","-80.87772","27.058763"
"360","-80.874784","27.095233"
"360","-80.874784","27.100146"
"360","-80.874637","27.101156"
"360","-80.87237","27.130461"
"360","-80.871818","27.138072"
"360","-80.871164","27.147064"
"360","-80.871875","27.147928"
"360","-80.873311","27.150054"
"360","-80.870236","27.152273"
"360","-80.871169","27.154951"
"360","-80.87324","27.156086"
"360","-80.876623","27.158502"
"360","-80.880353","27.164856"
"360","-80.88067","27.166501"
"360","-80.878866","27.167484"
"360","-80.878517","27.168829"
"360","-80.887036","27.166206"
"360","-80.890522","27.164233"
"360","-80.891623","27.166331"
"360","-80.894597","27.165392"
"360","-80.895153","27.166618"
"360","-80.897847","27.165958"
"360","-80.898277","27.166909"
"360","-80.897145","27.168482"
"360","-80.896919","27.170007"
"360","-80.897651","27.170544"
"360","-80.903478","27.16909"
"360","-80.901885","27.170235"
"360","-80.903845","27.170479"
"360","-80.904234","27.171511"
"360","-80.906005","27.171746"
"360","-80.907022","27.172916"
"360","-80.9082","27.172918"
"360","-80.908375","27.174298"
"360","-80.910019","27.174622"
"360","-80.910084","27.176164"
"360","-80.908279","27.176205"
"360","-80.90845","27.177675"
"360","-80.906569","27.178543"
"360","-80.906207","27.180225"
"360","-80.907501","27.179387"
"360","-80.908611","27.182257"
"360","-80.907548","27.183734"
"360","-80.908823","27.1844"
"360","-80.90863","27.185916"
"360","-80.907464","27.185858"
"360","-80.906403","27.189049"
"360","-80.907866","27.189094"
"360","-80.908445","27.187473"
"360","-80.9092","27.18839"
"360","-80.910959","27.188796"
"360","-80.910929","27.191395"
"360","-80.912789","27.191308"
"360","-80.912831","27.189984"
"360","-80.913905","27.189224"
"360","-80.915928","27.190374"
"360","-80.917465","27.189957"
"360","-80.919414","27.191613"
"360","-80.919899","27.193629"
"360","-80.922525","27.192781"
"360","-80.925298","27.195502"
"360","-80.925145","27.197418"
"360","-80.928469","27.196159"
"360","-80.929456","27.196433"
"360","-80.929234","27.197247"
"360","-80.927335","27.197735"
"360","-80.926542","27.198577"
"360","-80.929049","27.199223"
"360","-80.931186","27.200223"
"360","-80.931459","27.199136"
"360","-80.933455","27.196672"
"360","-80.934756","27.196247"
"360","-80.934293","27.198015"
"360","-80.934828","27.198758"
"360","-80.936778","27.198572"
"360","-80.937445","27.199128"
"360","-80.937985","27.202123"
"360","-80.937668","27.204555"
"360","-80.939905","27.204992"
"360","-80.941071","27.206685"
"360","-80.942477","27.206994"
"360","-80.9436","27.208927"
"360","-80.943186","27.210599"
"360","-80.941933","27.211403"
"360","-80.94321","27.212386"
"360","-80.943684","27.2138"
"360","-80.944678","27.214226"
"360","-80.94606","27.217247"
"360","-80.949392","27.219866"
"360","-80.948255","27.222338"
"360","-80.950257","27.222314"
"360","-80.951346","27.221081"
"360","-80.952557","27.221579"
"360","-80.951084","27.223864"
"360","-80.951656","27.224825"
"360","-80.954079","27.222942"
"360","-80.955867","27.222904"
"360","-80.95719","27.219347"
"360","-80.960884","27.219002"
"360","-80.961169","27.218316"
"360","-80.963649","27.21817"
"360","-80.963574","27.216485"
"360","-80.960716","27.216156"
"360","-80.961258","27.21526"
"360","-80.964579","27.215915"
"360","-80.967194","27.217005"
"360","-80.970242","27.21737"
"360","-80.972132","27.218874"
"360","-80.976002","27.225143"
"360","-80.979434","27.228346"
"360","-80.981778","27.231552"
"360","-80.982847","27.231881"
